bcr_sample_barcode	bcr_aliquot_barcode	amount	bcr_aliquot_uuid	biospecimen_barcode_bottom	center_id	concentration	date_of_shipment	plate_column	plate_id	plate_row	source_center
TCGA-CV-A6JD-01A	TCGA-CV-A6JD-01A-11R-A31N-07	13.00	A92D39D4-BCD4-44F9-AD4F-1C6B363174FB	0153886954	07	0.16	2013-07-24	3	A31N	C	23
TCGA-CV-A6JD-01A	TCGA-CV-A6JD-01A-11R-A31R-13	20.00	2BE3EF99-BBCD-433E-8297-E9C039E29A9D	0150756741	13	0.16	2013-07-24	3	A31R	C	23
TCGA-CV-A6JD-10A	TCGA-CV-A6JD-10A-01D-A31I-01	6.70	4306A2D2-AABF-4525-9F15-34072D1D42D1	0153888475	01	0.14	2013-07-24	5	A31I	A	23
TCGA-CV-A6JD-10A	TCGA-CV-A6JD-10A-01D-A31J-08	40.00	7E108F9D-5612-49BB-9872-36DECDC172A3	0153889051	08	0.07	2013-07-24	5	A31J	A	23
TCGA-CV-A6JE-01A	TCGA-CV-A6JE-01A-11D-A31K-01	6.70	A88AFBE4-41E9-4F89-936D-42971723A6D1	0150756364	01	0.16	2013-07-24	5	A31K	B	23
TCGA-CV-A6JE-01A	TCGA-CV-A6JE-01A-11D-A31L-08	40.00	F9CB08CF-3E97-4694-AFDF-DAD29BB97932	0150757708	08	0.08	2013-07-24	5	A31L	B	23
TCGA-CV-A6JE-01A	TCGA-CV-A6JE-01A-11D-A31M-05	13.00	E32756B3-3622-41E8-9238-6CCECE9DCAF9	0150754540	05	0.16	2013-07-24	5	A31M	B	23
TCGA-CV-A6JE-01A	TCGA-CV-A6JE-01A-11R-A31N-07	13.00	65B641F2-730E-4BDF-AC32-1D5F4E3D7AD0	0153887028	07	0.17	2013-07-24	3	A31N	D	23
TCGA-CV-A6JE-01A	TCGA-CV-A6JE-01A-11R-A31R-13	20.00	B1B4B8ED-2BF1-4B64-9EB4-C0AF44BC5B47	0150756722	13	0.17	2013-07-24	3	A31R	D	23
TCGA-CV-A6JE-10A	TCGA-CV-A6JE-10A-01D-A31I-01	6.70	2E3EEF56-D37A-4B0A-9826-5FAC51F990D6	0153888460	01	0.14	2013-07-24	5	A31I	B	23
TCGA-CV-A6JE-10A	TCGA-CV-A6JE-10A-01D-A31J-08	40.00	18F14CD1-49C8-4525-98E5-2EF3D540A952	0153889036	08	0.07	2013-07-24	5	A31J	B	23
TCGA-CV-A6JM-01A	TCGA-CV-A6JM-01A-11D-A31K-01	6.70	84E1A2E9-5BC0-44BC-BE70-551202352F41	0150756355	01	0.16	2013-07-24	5	A31K	C	23
