,n_patients,tumor_t1t2,event_free_survival,gender,rate,survival
CNTNAP4,16,1.0,0.91039546069171784,1.0,0.030812713131640086,0.89283905518661377
GPC5,11,1.0,0.91039546069171784,1.0,0.03134869853360478,0.89283905518661377
RP1L1,13,1.0,0.91039546069171784,1.0,0.032397571579911931,0.89283905518661377
FLT1,11,1.0,0.91039546069171784,1.0,0.032938798212991623,0.89283905518661377
MYT1L,17,1.0,0.91039546069171784,1.0,0.032938798212991623,0.89283905518661377
PIK3CG,15,1.0,0.91039546069171784,1.0,0.033080372383900117,0.89283905518661377
CDH23,11,1.0,0.91039546069171784,1.0,0.034164702796405134,0.89283905518661377
PRUNE2,15,1.0,0.91039546069171784,1.0,0.036991822089128837,0.89283905518661377
FLNC,14,1.0,0.91039546069171784,1.0,0.037861782283244813,0.89283905518661377
PRDM9,13,1.0,0.91039546069171784,1.0,0.037891642594306774,0.89283905518661377
FAT4,25,1.0,0.91039546069171784,1.0,0.037941898057863091,0.89283905518661377
SCN10A,13,1.0,0.91039546069171784,1.0,0.037941898057863091,0.89283905518661377
ZNF804A,18,1.0,0.91039546069171784,1.0,0.037941898057863091,0.89283905518661377
MAGI2,12,1.0,0.91039546069171784,1.0,0.038773318644781375,0.89283905518661377
MUC5B,34,1.0,0.91039546069171784,1.0,0.038879384219898352,0.89283905518661377
STK31,11,1.0,0.91039546069171784,1.0,0.038879384219898352,0.89283905518661377
EVC2,12,1.0,0.91039546069171784,1.0,0.039801113143332428,0.89283905518661377
MXRA5,13,1.0,0.91039546069171784,1.0,0.040905250844518362,0.89283905518661377
FAT1,21,1.0,0.91039546069171784,1.0,0.042565663379721619,0.89283905518661377
KCND2,12,1.0,0.91039546069171784,1.0,0.044693512609810845,0.89283905518661377
KALRN,15,1.0,0.91039546069171784,1.0,0.045423378197312403,0.89283905518661377
REG1B,10,1.0,0.91039546069171784,1.0,0.045423378197312403,0.89283905518661377
TRIOBP,15,1.0,0.91039546069171784,1.0,0.045423378197312403,0.89283905518661377
AKAP6,15,1.0,0.91039546069171784,1.0,0.049877975238776177,0.89283905518661377
PEG3,22,1.0,0.91039546069171784,1.0,0.052289842762862963,0.89283905518661377
MACF1,29,1.0,0.91039546069171784,1.0,0.052491126080081774,0.89283905518661377
FREM2,14,1.0,0.91039546069171784,1.0,0.053222449575735235,0.89283905518661377
NUP210L,13,1.0,0.91039546069171784,1.0,0.053222449575735235,0.89283905518661377
VWA3B,11,1.0,0.91039546069171784,1.0,0.053222449575735235,0.89283905518661377
SCN2A,14,1.0,0.91039546069171784,1.0,0.057164864873163523,0.89283905518661377
OR5L2,13,1.0,0.91039546069171784,1.0,0.061417646216883441,0.89283905518661377
GRID1,11,1.0,0.91039546069171784,1.0,0.063481237511011798,0.89283905518661377
CDH8,17,1.0,0.91039546069171784,1.0,0.064214905028203387,0.89283905518661377
PLCL1,12,1.0,0.91039546069171784,1.0,0.064712220899664455,0.89283905518661377
