bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-BA-A4IG-01A	TCGA-BA-A4IG-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A4IG-01A	TCGA-BA-A4IG-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A4IG-10A	TCGA-BA-A4IG-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A4IG-10A	TCGA-BA-A4IG-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A4IH-01A	TCGA-BA-A4IH-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A4IH-01A	TCGA-BA-A4IH-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A4IH-01A	TCGA-BA-A4IH-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A4IH-10A	TCGA-BA-A4IH-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A4IH-10A	TCGA-BA-A4IH-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A4II-01A	TCGA-BA-A4II-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A4II-01A	TCGA-BA-A4II-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A4II-01A	TCGA-BA-A4II-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A4II-10A	TCGA-BA-A4II-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A4II-10A	TCGA-BA-A4II-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6D8-01A	TCGA-BA-A6D8-01A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6D8-01A	TCGA-BA-A6D8-01A-31R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6D8-10A	TCGA-BA-A6D8-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A6DA-01A	TCGA-BA-A6DA-01A-31D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6DA-01A	TCGA-BA-A6DA-01A-31R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6DA-10A	TCGA-BA-A6DA-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A6DB-01A	TCGA-BA-A6DB-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6DB-01A	TCGA-BA-A6DB-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6DB-01A	TCGA-BA-A6DB-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DB-10A	TCGA-BA-A6DB-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A6DB-10A	TCGA-BA-A6DB-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DD-01A	TCGA-BA-A6DD-01A-12D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6DD-01A	TCGA-BA-A6DD-01A-12R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6DD-10A	TCGA-BA-A6DD-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A6DE-01A	TCGA-BA-A6DE-01A-22D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6DE-01A	TCGA-BA-A6DE-01A-22R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6DE-10A	TCGA-BA-A6DE-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A6DF-01A	TCGA-BA-A6DF-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6DF-01A	TCGA-BA-A6DF-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6DF-01A	TCGA-BA-A6DF-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DF-10A	TCGA-BA-A6DF-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A6DF-10A	TCGA-BA-A6DF-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DG-01A	TCGA-BA-A6DG-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6DG-01A	TCGA-BA-A6DG-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6DG-01A	TCGA-BA-A6DG-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DG-10A	TCGA-BA-A6DG-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
